Train_No,Confirmed,Waiting
169,Yes,No
170,No,No
171,Yes,No
172,No,Yes
173,No,No
174,No,No
175,Yes,Yes
176,Yes,Yes
177,Yes,No
178,Yes,No
179,No,No
180,Yes,Yes
181,No,Yes
182,Yes,No
183,Yes,Yes
184,No,Yes
185,Yes,No
186,No,No
187,Yes,Yes
188,No,No
189,No,No
190,No,Yes
191,Yes,Yes
192,Yes,No
193,No,Yes
194,Yes,Yes
195,No,No
196,No,No
197,Yes,No
198,No,No
199,Yes,No
200,No,No
201,No,No
202,Yes,Yes
203,No,No
204,No,No
205,Yes,Yes
206,Yes,No
207,No,No
208,No,Yes
209,Yes,No
210,No,No
211,No,No
212,Yes,Yes
213,No,No
214,Yes,No
215,Yes,Yes
216,No,No
217,Yes,Yes
218,No,No
219,No,Yes
220,Yes,No
221,Yes,Yes
222,Yes,No
223,Yes,Yes
224,No,Yes
225,Yes,No
226,No,Yes
227,No,Yes
228,Yes,No
229,Yes,Yes
230,No,No
231,No,Yes
232,Yes,Yes
233,No,Yes
234,Yes,Yes
235,No,No
236,Yes,No
237,No,Yes
238,Yes,No
239,Yes,Yes
240,No,Yes
241,No,Yes
242,Yes,Yes
243,Yes,No
244,No,Yes
245,No,Yes
246,Yes,Yes
247,No,No
248,No,Yes
249,Yes,No
250,Yes,No
251,Yes,Yes
252,Yes,No
253,Yes,No
254,No,No
255,Yes,Yes
256,Yes,Yes
257,No,No
258,Yes,Yes
259,No,No
260,Yes,No
261,Yes,No
262,No,No
263,No,Yes
264,No,No
265,No,No
266,No,Yes
267,Yes,Yes
268,No,Yes
269,Yes,Yes
270,Yes,No
271,Yes,No
272,No,Yes
273,Yes,Yes
274,Yes,No
275,No,Yes
276,No,Yes
277,No,Yes
278,Yes,No
279,No,Yes
280,Yes,No
281,Yes,Yes
282,No,Yes
283,Yes,No
284,No,No
285,No,No
286,Yes,Yes
287,No,No
288,Yes,No
289,No,No
290,Yes,Yes
291,No,Yes
292,Yes,Yes
293,Yes,Yes
294,Yes,Yes
295,Yes,No
296,No,Yes
297,Yes,Yes
298,No,No
299,No,No
300,No,No
301,Yes,Yes
302,Yes,No
303,No,Yes
304,Yes,Yes
305,No,No
306,No,Yes
307,Yes,No
308,No,Yes
309,Yes,No
310,No,No
311,Yes,Yes
312,Yes,No
313,No,Yes
314,Yes,Yes
315,Yes,Yes
316,Yes,Yes
317,No,Yes
318,No,Yes
319,No,No
320,No,No
321,Yes,Yes
322,No,Yes
323,Yes,No
324,No,Yes
325,Yes,Yes
326,Yes,No
327,Yes,Yes
328,Yes,Yes
329,No,Yes
330,Yes,No
331,No,No
332,Yes,Yes
333,No,No
334,Yes,No
335,No,No
336,No,No
337,Yes,Yes
338,Yes,No
339,No,No
340,Yes,No
341,No,Yes
342,Yes,Yes
343,No,No
344,No,Yes
345,No,Yes
346,Yes,Yes
347,No,No
348,Yes,No
349,Yes,No
350,Yes,Yes
351,Yes,No
352,Yes,Yes
353,No,No
354,No,Yes
355,No,No
356,Yes,Yes
357,Yes,No
358,Yes,Yes
359,No,No
360,Yes,Yes
361,Yes,No
362,Yes,No
363,No,Yes
364,No,Yes
365,No,Yes
366,Yes,Yes
367,No,No
368,No,No
369,Yes,Yes
370,Yes,Yes
371,No,No
372,Yes,Yes
373,Yes,Yes
374,No,Yes
375,Yes,No
376,Yes,No
377,Yes,Yes
378,No,No
379,No,No
380,Yes,No
381,Yes,Yes
382,No,No
383,No,No
384,Yes,Yes
385,No,No
386,Yes,No
387,Yes,No
388,Yes,No
389,Yes,No
390,No,Yes
391,No,No
392,No,No
393,Yes,Yes
394,No,Yes
395,Yes,No
396,Yes,Yes
397,Yes,No
398,No,Yes
399,No,Yes
400,Yes,Yes
401,No,Yes
402,Yes,Yes
403,Yes,Yes
404,Yes,Yes
405,No,No
406,Yes,Yes
407,Yes,No
408,Yes,Yes
409,No,Yes
410,Yes,Yes
411,Yes,Yes
412,Yes,Yes
413,No,No
414,Yes,Yes
415,Yes,Yes
416,No,Yes
417,Yes,No
418,No,Yes
419,Yes,No
420,No,Yes
421,Yes,Yes
422,Yes,No
423,No,No
424,No,Yes
425,No,No
426,Yes,Yes
427,No,No
428,Yes,Yes
429,No,Yes
430,Yes,No
431,Yes,No
432,No,No
433,No,No
434,Yes,No
435,Yes,No
436,Yes,Yes
437,Yes,No
438,No,Yes
439,No,No
440,No,No
441,No,No
442,Yes,Yes
443,Yes,No
444,No,No
445,No,Yes
446,Yes,Yes
447,Yes,No
448,Yes,No
449,Yes,No
450,Yes,Yes
451,No,Yes
452,Yes,Yes
453,Yes,No
454,Yes,Yes
455,Yes,Yes
456,Yes,Yes
457,Yes,No
458,Yes,Yes
459,No,No
460,No,No
461,No,No
462,No,Yes
463,No,Yes
464,No,No
465,Yes,Yes
466,No,No
467,No,No
468,No,Yes
469,No,Yes
470,No,No
471,No,Yes
472,No,No
473,Yes,No
474,Yes,Yes
475,No,Yes
476,No,Yes
477,Yes,Yes
478,No,No
479,No,Yes
480,No,Yes
481,No,Yes
482,No,No
483,Yes,Yes
484,No,No
485,No,Yes
486,Yes,No
487,No,No
488,No,Yes
489,No,Yes
490,No,No
491,Yes,Yes
492,No,Yes
493,Yes,No
494,Yes,No
495,No,Yes
496,Yes,Yes
497,Yes,Yes
498,No,No
499,Yes,No
500,Yes,No
501,No,No
502,No,No
503,Yes,No
504,Yes,No
505,No,No
506,No,No
507,Yes,Yes
508,No,Yes
509,No,Yes
510,No,No
511,Yes,No
512,Yes,No
513,Yes,No
514,No,Yes
515,No,Yes
516,Yes,Yes
517,No,No
518,Yes,No
519,Yes,No
520,No,Yes
521,Yes,No
522,Yes,Yes
523,Yes,No
524,Yes,No
525,Yes,No
526,Yes,No
527,Yes,Yes
528,Yes,No
529,No,Yes
530,Yes,No
531,Yes,Yes
532,No,No
533,Yes,Yes
534,No,Yes
535,No,Yes
536,No,No
537,No,No
538,Yes,Yes
539,Yes,Yes
540,Yes,Yes
541,No,No
542,Yes,No
543,No,No
544,Yes,No
545,Yes,Yes
546,Yes,Yes
547,Yes,No
548,No,Yes
549,Yes,Yes
550,No,No
551,No,Yes
552,No,No
553,Yes,Yes
554,No,Yes
555,Yes,No
556,No,Yes
557,Yes,No
558,No,Yes
559,No,No
560,Yes,Yes
561,No,Yes
562,Yes,No
563,Yes,No
564,No,No
565,No,No
566,No,Yes
567,No,No
568,No,No
569,Yes,Yes
570,Yes,Yes
571,No,No
572,No,Yes
573,No,Yes
574,No,Yes
575,No,No
576,No,Yes
577,No,No
578,No,No
579,No,Yes
580,Yes,Yes
581,Yes,Yes
582,Yes,No
583,No,No
584,Yes,Yes
585,No,No
586,Yes,Yes
587,No,No
588,Yes,No
589,No,Yes
590,Yes,No
591,No,No
592,Yes,Yes
593,Yes,Yes
594,Yes,Yes
595,No,Yes
596,No,Yes
597,Yes,No
598,Yes,No
599,Yes,Yes
600,No,No
601,Yes,No
602,Yes,No
603,No,No
604,No,Yes
605,No,No
606,No,Yes
607,No,Yes
608,Yes,No
609,Yes,Yes
610,No,No
611,No,No
612,No,No
613,No,Yes
614,Yes,No
615,No,Yes
616,Yes,Yes
617,Yes,Yes
618,Yes,Yes
619,No,Yes
620,Yes,Yes
621,Yes,No
622,No,No
623,Yes,No
624,Yes,No
625,Yes,Yes
626,No,Yes
627,No,Yes
628,No,Yes
629,No,Yes
630,Yes,Yes
631,Yes,No
632,Yes,No
633,Yes,No
634,Yes,Yes
635,Yes,No
636,No,No
637,No,Yes
638,Yes,Yes
639,No,No
640,Yes,No
641,No,Yes
642,No,No
643,No,Yes
644,Yes,No
645,Yes,No
646,No,No
647,No,Yes
648,No,Yes
649,No,Yes
650,No,Yes
651,Yes,No
652,Yes,Yes
653,Yes,Yes
654,Yes,No
655,No,No
656,No,Yes
657,Yes,No
658,Yes,Yes
659,No,No
660,No,Yes
661,No,No
662,Yes,No
663,Yes,Yes
664,No,Yes
665,No,Yes
666,Yes,No
667,No,Yes
668,No,Yes
669,No,Yes
670,No,No
671,Yes,No
672,Yes,Yes
673,Yes,No
674,Yes,No
675,Yes,No
676,Yes,No
677,No,Yes
678,Yes,No
679,Yes,Yes
680,Yes,Yes
681,No,Yes
682,Yes,No
683,Yes,Yes
684,Yes,Yes
685,No,Yes
686,Yes,No
687,Yes,No
688,No,Yes
689,No,Yes
690,No,Yes
691,No,No
692,Yes,Yes
693,No,No
694,Yes,No
695,Yes,No
696,Yes,No
697,No,No
698,Yes,No
699,Yes,Yes
700,Yes,No
701,Yes,No
702,No,Yes
703,No,No
704,No,Yes
705,Yes,No
706,No,No
707,No,Yes
708,No,No
709,Yes,Yes
710,No,Yes
711,Yes,Yes
712,Yes,No
713,No,No
714,No,Yes
715,No,Yes
716,Yes,Yes
717,No,No
718,Yes,Yes
719,Yes,Yes
720,No,No
721,Yes,Yes
722,Yes,No
723,No,Yes
724,No,No
725,No,Yes
726,Yes,No
727,Yes,No
728,Yes,No
729,Yes,Yes
730,Yes,No
731,Yes,Yes
732,No,No
733,No,Yes
734,Yes,Yes
735,No,No
736,No,No
737,No,Yes
738,No,Yes
739,Yes,No
740,No,No
741,Yes,No
742,Yes,Yes
743,No,No
744,Yes,No
745,No,No
746,Yes,No
747,Yes,Yes
748,Yes,Yes
749,Yes,No
750,Yes,No
751,No,Yes
752,Yes,Yes
753,No,No
754,No,No
755,No,No
756,No,No
757,Yes,No
758,No,No
759,No,Yes
760,Yes,Yes
761,No,Yes
762,Yes,Yes
763,No,Yes
764,No,No
765,No,Yes
766,No,Yes
767,No,Yes
768,No,No
769,No,Yes
770,No,No
771,Yes,No
772,No,No
773,Yes,No
774,Yes,Yes
775,Yes,Yes
776,No,No
777,No,Yes
778,No,No
779,No,Yes
780,Yes,Yes
781,No,Yes
782,Yes,No
783,Yes,No
784,No,No
785,No,No
786,No,No
787,Yes,Yes
788,No,Yes
789,Yes,No
790,Yes,No
791,No,Yes
792,Yes,No
793,Yes,No
794,No,No
795,No,Yes
796,Yes,Yes
797,Yes,Yes
798,No,No
799,Yes,Yes
800,Yes,No
801,Yes,No
802,No,No
803,No,No
804,No,Yes
805,No,Yes
806,Yes,No
807,No,Yes
808,No,No
809,Yes,No
810,Yes,No
811,Yes,Yes
812,No,Yes
813,Yes,Yes
814,Yes,No
815,Yes,Yes
816,Yes,No
817,No,Yes
818,Yes,No
819,No,Yes
820,Yes,No
821,Yes,No
822,No,No
823,No,Yes
824,No,Yes
825,No,No
826,No,No
827,No,Yes
828,No,No
829,No,Yes
830,No,Yes
831,No,Yes
832,No,Yes
833,Yes,Yes
834,No,Yes
835,Yes,No
836,Yes,Yes
837,No,Yes
838,No,No
839,No,No
840,No,Yes
841,No,Yes
842,Yes,No
843,Yes,No
844,Yes,No
845,No,No
846,No,Yes
847,Yes,Yes
848,No,No
849,Yes,No
850,No,Yes
851,Yes,No
852,Yes,No
853,Yes,No
854,Yes,No
855,Yes,No
856,No,Yes
857,No,Yes
858,Yes,No
859,Yes,No
860,No,No
861,No,Yes
862,Yes,Yes
863,Yes,Yes
864,No,No
865,Yes,Yes
866,Yes,No
867,Yes,Yes
868,Yes,No
869,Yes,No
870,Yes,Yes
871,No,Yes
872,No,Yes
873,No,Yes
874,No,Yes
875,No,No
876,Yes,No
877,No,No
878,Yes,Yes
879,No,Yes
880,No,No
881,Yes,No
882,Yes,No
883,No,Yes
884,Yes,Yes
885,No,Yes
886,Yes,Yes
887,Yes,No
888,Yes,Yes
889,Yes,Yes
890,Yes,Yes
891,Yes,No
892,Yes,No
893,No,No
894,Yes,No
895,Yes,Yes
896,Yes,No
897,No,No
898,No,No
899,No,No
900,No,No
901,Yes,No
902,No,No
903,No,Yes
904,Yes,No
905,No,No
906,No,Yes
907,No,No
908,No,No
909,No,No
910,No,Yes
911,No,No
912,Yes,No
913,No,No
914,Yes,No
915,Yes,Yes
916,Yes,Yes
917,Yes,No
918,No,No
919,Yes,No
920,No,No
921,No,No
922,Yes,Yes
923,Yes,No
924,No,No
925,No,No
926,No,Yes
927,Yes,Yes
928,No,Yes
929,Yes,Yes
930,Yes,Yes
931,Yes,Yes
932,Yes,No
933,Yes,No
934,Yes,Yes
935,Yes,Yes
936,No,Yes
937,No,No
938,No,No
939,Yes,No
940,Yes,Yes
941,Yes,No
942,No,Yes
943,No,No
944,Yes,No
945,No,Yes
946,Yes,Yes
947,Yes,No
948,Yes,No
949,No,No
950,No,No
951,Yes,Yes
952,No,No
953,Yes,Yes
954,Yes,Yes
955,No,Yes
956,Yes,No
957,No,No
958,No,No
959,No,Yes
960,Yes,Yes
961,Yes,No
962,No,Yes
963,No,No
964,Yes,Yes
965,Yes,Yes
966,No,No
967,No,Yes
968,No,Yes
969,No,Yes
970,Yes,No
971,No,Yes
972,No,No
973,Yes,No
974,Yes,Yes
975,Yes,Yes
976,Yes,No
977,Yes,No
978,No,Yes
979,No,Yes
980,Yes,Yes
981,Yes,Yes
982,No,Yes
983,No,Yes
984,No,Yes
985,Yes,Yes
986,Yes,Yes
987,Yes,Yes
988,No,Yes
989,Yes,Yes
990,Yes,No
991,No,Yes
992,Yes,No
993,Yes,No
994,Yes,Yes
995,Yes,No
996,No,Yes
997,Yes,Yes
998,No,Yes
999,Yes,No
1000,Yes,Yes
1001,No,No
1002,No,Yes
1003,No,No
1004,No,No
1005,Yes,No
1006,No,No
1007,No,Yes
1008,Yes,Yes
1009,Yes,Yes
1010,No,Yes
1011,Yes,No
1012,Yes,Yes
1013,Yes,Yes
1014,No,No
1015,No,Yes
1016,No,No
1017,No,No
1018,No,No
1019,No,No
1020,Yes,No
1021,Yes,Yes
1022,No,Yes
1023,No,No
1024,No,Yes
1025,Yes,Yes
1026,No,Yes
1027,Yes,No
1028,No,No
1029,Yes,Yes
1030,Yes,No
1031,Yes,No
1032,No,Yes
1033,No,Yes
1034,Yes,No
1035,No,Yes
1036,Yes,No
1037,Yes,Yes
1038,Yes,No
1039,Yes,Yes
1040,No,No
1041,No,Yes
1042,No,No
1043,No,Yes
1044,No,Yes
1045,No,Yes
1046,No,No
1047,No,No
1048,Yes,No
1049,No,Yes
1050,Yes,No
1051,Yes,Yes
1052,No,No
1053,No,No
1054,Yes,Yes
1055,No,Yes
1056,No,No
1057,Yes,No
1058,No,Yes
1059,Yes,Yes
1060,No,Yes
1061,No,Yes
1062,Yes,Yes
1063,Yes,Yes
1064,No,Yes
1065,Yes,No
1066,Yes,No
1067,Yes,Yes
1068,Yes,No
1069,Yes,Yes
1070,No,No
1071,No,No
1072,No,No
1073,Yes,Yes
1074,Yes,Yes
1075,No,Yes
1076,Yes,No
1077,Yes,Yes
1078,Yes,No
1079,Yes,No
1080,Yes,Yes
1081,Yes,No
1082,Yes,No
1083,No,Yes
1084,No,Yes
1085,Yes,No
1086,Yes,No
1087,Yes,No
1088,No,Yes
1089,Yes,Yes
1090,Yes,No
1091,No,Yes
1092,No,No
1093,Yes,Yes
1094,No,Yes
1095,No,Yes
1096,No,Yes
1097,No,No
1098,No,Yes
1099,No,Yes
1100,Yes,Yes
1101,Yes,No
1102,Yes,Yes
1103,Yes,Yes
1104,No,Yes
1105,Yes,Yes
1106,Yes,No
1107,Yes,No
1108,No,No
1109,No,Yes
1110,Yes,Yes
1111,No,No
1112,No,No
1113,No,Yes
1114,Yes,No
1115,No,Yes
1116,No,Yes
1117,Yes,Yes
1118,No,No
1119,Yes,Yes
1120,No,Yes
1121,No,Yes
1122,No,Yes
1123,No,Yes
1124,Yes,No
1125,Yes,No
1126,No,No
1127,Yes,Yes
1128,No,Yes
1129,No,Yes
1130,No,No
1131,No,No
1132,No,No
1133,Yes,No
1134,Yes,No
1135,No,Yes
1136,No,Yes
1137,Yes,Yes
1138,Yes,Yes
1139,Yes,No
1140,Yes,Yes
1141,Yes,Yes
1142,Yes,No
1143,No,No
1144,Yes,Yes
1145,No,Yes
1146,Yes,Yes
1147,No,Yes
1148,Yes,No
1149,No,No
1150,No,No
1151,Yes,No
1152,Yes,Yes
1153,No,Yes
1154,Yes,Yes
1155,Yes,Yes
1156,Yes,Yes
1157,Yes,No
1158,Yes,Yes
1159,Yes,Yes
1160,No,Yes
1161,Yes,Yes
1162,Yes,Yes
1163,Yes,No
1164,Yes,No
1165,Yes,Yes
1166,No,Yes
1167,Yes,Yes
1168,No,No
1169,Yes,No
1170,Yes,No
1171,Yes,No
1172,Yes,No
1173,No,No
1174,Yes,Yes
1175,No,No
1176,No,No
1177,Yes,Yes
1178,No,No
1179,Yes,No
1180,No,Yes
1181,No,Yes
1182,Yes,No
1183,No,Yes
1184,No,Yes
1185,No,Yes
1186,No,No
1187,Yes,Yes
1188,Yes,Yes
1189,Yes,No
1190,No,Yes
1191,No,No
1192,Yes,Yes
1193,Yes,Yes
1194,Yes,No
1195,No,No
1196,Yes,No
1197,Yes,Yes
1198,No,Yes
1199,Yes,Yes
1200,No,Yes
1201,No,Yes
1202,No,Yes
1203,Yes,No
1204,No,Yes
1205,Yes,Yes
1206,No,Yes
1207,Yes,Yes
1208,No,No
1209,Yes,Yes
1210,Yes,No
1211,Yes,No
1212,Yes,Yes
1213,No,No
1214,Yes,Yes
1215,Yes,No
1216,No,No
1217,Yes,No
1218,No,No
1219,No,Yes
1220,Yes,Yes
1221,No,Yes
1222,No,Yes
1223,No,Yes
1224,Yes,No
1225,Yes,No
1226,No,No
1227,No,Yes
1228,Yes,Yes
1229,No,No
1230,Yes,Yes
1231,Yes,No
1232,Yes,Yes
1233,Yes,Yes
1234,Yes,Yes
1235,Yes,No
1236,Yes,Yes
1237,Yes,No
1238,No,Yes
1239,Yes,No
1240,Yes,Yes
1241,Yes,Yes
1242,No,No
1243,Yes,Yes
1244,No,Yes
1245,Yes,No
1246,No,Yes
1247,Yes,No
1248,No,No
1249,Yes,Yes
1250,Yes,Yes
1251,Yes,Yes
1252,No,Yes
1253,Yes,No
1254,Yes,No
1255,No,Yes
1256,No,No
1257,No,Yes
1258,No,Yes
1259,No,Yes
1260,Yes,Yes
1261,Yes,Yes
1262,No,No
1263,Yes,Yes
1264,Yes,Yes
1265,Yes,Yes
1266,Yes,No
1267,No,Yes
1268,No,No
1269,No,Yes
1270,No,No
1271,No,No
1272,No,Yes
1273,Yes,No
1274,Yes,Yes
1275,No,No
1276,Yes,No
1277,No,Yes
1278,No,No
1279,Yes,Yes
1280,Yes,Yes
1281,No,No
1282,No,Yes
1283,Yes,No
1284,No,Yes
1285,Yes,Yes
1286,Yes,No
1287,Yes,No
1288,Yes,Yes
1289,Yes,Yes
1290,No,Yes
1291,No,No
1292,No,Yes
1293,Yes,Yes
1294,No,No
1295,Yes,Yes
1296,Yes,No
1297,Yes,Yes
1298,Yes,No
1299,No,No
1300,No,No
1301,Yes,No
1302,No,Yes
1303,Yes,Yes
1304,Yes,Yes
1305,Yes,Yes
1306,Yes,Yes
1307,No,Yes
1308,No,Yes
1309,No,No
1310,Yes,No
1311,No,No
1312,No,Yes
1313,No,No
1314,No,Yes
1315,Yes,Yes
1316,Yes,Yes
1317,Yes,No
1318,No,Yes
1319,No,Yes
1320,No,No
1321,Yes,Yes
1322,Yes,No
1323,No,Yes
1324,No,No
1325,Yes,Yes
1326,Yes,Yes
1327,No,No
1328,No,Yes
1329,No,Yes
1330,Yes,Yes
1331,No,No
1332,No,No
1333,No,No
1334,No,No
1335,No,Yes
1336,No,No
1337,Yes,Yes
1338,Yes,Yes
1339,No,Yes
1340,No,No
1341,Yes,Yes
1342,Yes,No
1343,Yes,Yes
1344,No,No
1345,Yes,Yes
1346,No,Yes
1347,No,Yes
1348,Yes,Yes
1349,Yes,Yes
1350,Yes,Yes
1351,Yes,No
1352,No,No
1353,No,No
1354,No,Yes
1355,Yes,No
1356,No,Yes
1357,No,No
1358,Yes,Yes
1359,No,Yes
1360,No,No
1361,No,Yes
1362,No,No
1363,No,Yes
1364,No,No
1365,No,Yes
1366,No,No
1367,No,No
1368,No,No
1369,Yes,No
1370,Yes,Yes
1371,Yes,No
1372,No,No
1373,Yes,Yes
1374,No,No
1375,Yes,No
1376,Yes,No
1377,No,No
1378,No,Yes
1379,No,No
1380,Yes,Yes
1381,No,Yes
1382,Yes,Yes
1383,No,Yes
1384,Yes,Yes
1385,Yes,Yes
1386,No,Yes
1387,No,Yes
1388,Yes,No
1389,No,No
1390,Yes,No
1391,No,No
1392,No,No
1393,Yes,No
1394,No,No
1395,No,No
1396,No,No
1397,Yes,Yes
1398,Yes,No
1399,No,Yes
1400,No,No
1401,Yes,Yes
1402,Yes,Yes
1403,Yes,No
1404,Yes,No
1405,No,No
1406,Yes,No
1407,No,Yes
1408,No,Yes
1409,Yes,No
1410,Yes,No
1411,No,Yes
1412,Yes,No
1413,No,No
1414,Yes,Yes
1415,No,Yes
1416,Yes,No
1417,Yes,No
1418,No,Yes
1419,Yes,No
1420,No,No
1421,Yes,Yes
1422,No,Yes
1423,No,Yes
1424,No,Yes
1425,No,Yes
1426,Yes,Yes
1427,Yes,No
1428,Yes,Yes
1429,Yes,No
1430,Yes,No
1431,Yes,Yes
1432,Yes,No
1433,Yes,Yes
1434,Yes,No
1435,Yes,Yes
1436,Yes,No
1437,Yes,Yes
1438,Yes,Yes
1439,No,Yes
1440,No,No
1441,No,Yes
1442,Yes,No
1443,No,No
1444,No,Yes
1445,Yes,Yes
1446,Yes,Yes
1447,No,Yes
1448,No,Yes
1449,Yes,Yes
1450,No,No
1451,Yes,No
1452,No,Yes
1453,No,Yes
1454,Yes,Yes
1455,No,No
1456,Yes,Yes
1457,Yes,Yes
1458,No,No
1459,No,No
1460,No,No
1461,Yes,Yes
1462,No,No
1463,Yes,Yes
1464,Yes,Yes
1465,Yes,Yes
1466,No,No
1467,Yes,No
1468,Yes,Yes
1469,No,Yes
1470,Yes,No
1471,Yes,Yes
1472,Yes,Yes
1473,Yes,Yes
1474,Yes,Yes
1475,No,No
1476,No,Yes
1477,No,Yes
1478,No,No
1479,Yes,No
1480,No,No
1481,No,No
1482,Yes,No
1483,Yes,Yes
1484,No,No
1485,Yes,No
1486,Yes,No
1487,Yes,No
1488,No,Yes
1489,No,No
1490,No,No
1491,Yes,No
1492,Yes,Yes
1493,Yes,Yes
1494,No,No
1495,Yes,Yes
1496,No,No
1497,No,No
1498,No,Yes
1499,No,No
1500,Yes,Yes
1501,No,No
1502,Yes,No
1503,Yes,No
1504,Yes,No
1505,No,Yes
1506,Yes,Yes
1507,No,Yes
1508,No,Yes
1509,Yes,Yes
1510,No,No
1511,No,Yes
1512,No,Yes
1513,Yes,Yes
1514,Yes,Yes
1515,No,Yes
1516,No,No
1517,No,Yes
1518,Yes,No
1519,Yes,No
1520,Yes,No
1521,No,Yes
1522,Yes,Yes
1523,No,No
1524,Yes,Yes
1525,No,Yes
1526,Yes,No
1527,Yes,No
1528,Yes,No
1529,Yes,No
1530,No,Yes
1531,No,Yes
1532,No,No
1533,Yes,Yes
1534,No,Yes
1535,No,Yes
1536,Yes,No
1537,Yes,Yes
1538,Yes,No
1539,Yes,Yes
1540,No,No
1541,Yes,Yes
1542,No,Yes
1543,Yes,No
1544,Yes,Yes
1545,No,No
1546,No,Yes
1547,Yes,No
1548,Yes,No
1549,Yes,No
1550,Yes,Yes
1551,Yes,No
1552,Yes,Yes
1553,No,Yes
1554,No,No
1555,No,No
1556,No,No
1557,No,No
1558,No,No
1559,No,No
1560,No,Yes
1561,Yes,No
1562,Yes,Yes
1563,No,No
1564,No,Yes
1565,Yes,No
1566,Yes,Yes
1567,No,No
1568,No,Yes
1569,Yes,No
1570,No,Yes
1571,No,No
1572,Yes,Yes
1573,Yes,Yes
1574,No,No
1575,No,No
1576,No,No
1577,No,Yes
1578,Yes,No
1579,No,No
1580,Yes,Yes
1581,Yes,Yes
1582,Yes,Yes
1583,Yes,Yes
1584,Yes,Yes
1585,No,Yes
1586,Yes,No
1587,Yes,Yes
1588,No,Yes
1589,No,No
1590,No,Yes
1591,No,No
1592,Yes,Yes
1593,Yes,No
1594,Yes,No
1595,Yes,Yes
1596,Yes,No
1597,No,Yes
1598,Yes,Yes
1599,Yes,Yes
1600,No,No
1601,No,Yes
1602,No,No
1603,Yes,No
1604,Yes,No
1605,No,Yes
1606,No,Yes
1607,No,No
1608,No,Yes
1609,Yes,No
1610,Yes,Yes
1611,Yes,Yes
1612,Yes,Yes
1613,Yes,Yes
1614,Yes,No
1615,No,Yes
1616,Yes,Yes
1617,No,Yes
1618,No,Yes
1619,No,No
1620,No,No
1621,Yes,Yes
1622,No,Yes
1623,Yes,No
1624,Yes,Yes
1625,No,Yes
1626,No,Yes
1627,Yes,No
1628,Yes,Yes
1629,No,No
1630,No,No
1631,No,Yes
1632,Yes,No
1633,Yes,Yes
1634,Yes,Yes
1635,No,No
1636,No,No
1637,No,No
1638,No,No
1639,Yes,No
1640,Yes,Yes
1641,Yes,No
1642,Yes,Yes
1643,Yes,No
1644,No,Yes
1645,Yes,No
1646,No,Yes
1647,No,No
1648,Yes,Yes
1649,No,Yes
1650,No,Yes
1651,No,Yes
1652,Yes,No
1653,No,No
1654,Yes,No
1655,Yes,No
1656,No,Yes
1657,No,Yes
