Ticket_NO,Passenger_ID,Train_No,Ticket_Price
376,4848,3,121
377,6067,16,284
378,8102,14,81
379,5505,7,205
380,8893,14,261
381,5594,6,144
382,2648,6,101
383,1800,4,202
384,8078,6,150
385,6881,8,257
386,6480,19,56
387,8639,5,117
388,3015,5,260
389,4388,16,259
390,3790,19,236
391,4905,7,277
392,1187,20,242
393,5688,13,214
394,8031,13,213
395,8399,16,251
396,1052,10,169
397,9952,13,226
398,2163,8,190
399,2640,19,207
400,3976,6,100
401,7692,3,158
402,3099,14,149
403,3675,9,67
404,1410,9,57
405,4133,13,244
406,8524,3,268
407,9458,12,282
408,6054,18,294
409,4712,2,115
410,5440,15,93
411,9423,14,235
412,475,7,149
413,4900,1,218
414,6132,7,212
415,9648,17,175
416,5465,9,75
417,3856,19,87
418,7024,15,230
419,1882,18,205
420,5039,19,182
421,913,20,257
422,3417,10,181
423,3208,6,250
424,3688,20,160
425,9255,20,132
426,9703,7,153
427,3096,12,60
428,8181,2,288
429,7233,20,92
430,8261,11,295
431,9958,1,99
432,7186,5,123
433,7445,10,300
434,6041,7,94
435,1293,7,245
436,3607,4,51
437,5056,10,271
438,3621,8,175
439,5036,3,257
440,3845,13,82
441,7127,16,50
442,4324,3,198
443,8321,14,190
444,5667,12,102
445,5818,10,272
446,2135,14,111
447,3169,14,292
448,419,19,166
449,4337,3,102
450,1800,11,149
451,5291,15,256
452,4058,3,155
453,1845,13,89
454,4839,4,120
455,8012,15,270
456,6592,1,215
457,513,2,114
458,744,12,124
459,4760,3,237
460,3801,13,199
461,6092,15,92
462,9204,3,61
463,5514,17,139
464,2623,1,134
465,1861,13,275
466,2188,3,110
467,5771,17,154
468,4687,7,261
469,5579,4,222
470,8549,3,152
471,6338,4,218
472,6327,14,286
473,4409,7,273
474,758,13,262
475,4679,20,82
476,8476,18,129
477,744,9,298
478,7523,7,222
479,5349,13,291
480,9349,2,247
481,3622,15,260
482,7074,15,244
483,1174,11,199
484,7984,10,261
485,2259,5,167
486,6894,3,56
487,7956,11,194
488,423,5,128
489,5241,13,288
490,7145,2,289
491,3117,14,198
492,165,12,74
493,7890,18,133
494,770,20,285
495,1218,3,181
496,4463,19,107
497,1106,20,104
498,420,14,236
499,1367,12,246
500,9232,17,94
501,8948,11,151
502,6293,16,159
503,2779,4,216
504,3823,4,267
505,2510,8,54
506,4913,10,98
507,3992,1,168
508,1520,10,94
509,3877,19,157
510,8504,8,228
511,6285,9,124
512,4183,2,99
513,3634,9,106
514,834,12,144
515,7573,9,257
516,8029,3,93
517,8676,15,209
518,6386,9,221
519,8008,20,157
520,2028,7,240
521,4679,11,66
522,8126,3,178
523,938,10,260
524,7414,5,282
525,866,18,291
526,1822,2,118
527,5664,8,233
528,2571,19,248
529,4652,4,126
530,7643,16,95
531,4200,9,175
532,9401,13,156
533,5982,12,118
534,8247,2,163
535,3060,7,224
536,9204,10,199
537,5434,13,110
538,8442,20,122
539,8418,16,230
540,4823,14,111
541,9564,9,218
542,1663,15,112
543,2190,13,263
544,1695,5,250
545,1102,19,216
546,316,11,92
547,3911,9,123
548,5725,1,183
549,3530,3,250
550,3920,18,198
551,537,11,67
552,5891,12,117
553,7638,11,157
554,2007,7,270
555,9653,11,181
556,9797,11,180
557,7973,19,279
558,9892,9,104
559,3669,20,207
560,3227,15,121
561,7144,10,129
562,2001,20,166
563,4869,13,219
564,4190,5,201
565,8584,11,217
566,4442,13,270
567,9739,9,100
568,5792,7,240
569,4032,5,200
570,580,8,101
571,6359,19,101
572,4000,7,128
573,877,6,167
574,7139,11,268
575,5764,6,224
576,6005,7,66
577,8189,15,131
578,3030,3,270
579,5651,15,55
580,9608,10,128
581,4061,13,270
582,1750,2,107
583,932,20,181
584,8167,20,245
585,3287,2,283
586,6987,18,182
587,4623,18,182
588,4392,13,150
589,1106,1,186
590,9108,4,108
591,6935,19,159
592,3022,6,284
593,3473,3,205
594,5130,17,77
595,6636,19,140
596,1722,5,254
597,3323,9,101
598,9149,9,221
599,4047,14,152
600,8989,2,164
601,3485,18,86
602,7132,18,275
603,8396,2,161
604,6169,19,86
605,5180,15,193
606,2539,17,180
607,7211,18,138
608,5147,5,85
609,7245,5,285
610,458,2,270
611,3228,7,269
612,2244,16,71
613,8074,3,171
614,5932,13,273
615,9483,1,244
616,1540,7,81
617,6203,19,256
618,2468,8,186
619,9173,11,195
620,1645,15,73
621,4736,1,125
622,5981,5,142
623,9432,5,270
624,6086,18,238
625,1166,11,206
626,4993,13,93
627,3170,13,177
628,5895,12,59
629,4736,1,156
630,2900,9,200
631,452,4,243
632,3998,7,233
633,4592,20,246
634,5123,10,170
635,6314,10,116
636,1133,9,290
637,1407,2,122
638,5741,11,266
639,6028,7,212
640,4580,8,285
641,2404,13,91
642,4090,2,133
643,1608,3,256
644,440,4,113
645,3530,12,137
646,9283,5,70
647,2802,16,280
648,494,8,289
649,6815,10,245
650,6052,3,260
651,2879,10,277
652,5806,7,190
653,1794,8,227
654,1946,20,51
655,9304,2,166
656,5650,9,244
657,1741,13,227
658,9493,12,164
659,7359,17,116
660,6525,6,117
661,5854,19,56
662,746,1,83
663,3880,6,66
664,4974,18,208
665,6830,3,272
666,7058,1,281
667,9788,14,285
668,6594,7,78
669,5601,12,51
670,3135,19,141
671,1556,11,238
672,1218,6,70
673,1389,14,82
674,5923,11,152
675,1847,11,272
676,6940,8,121
677,5027,15,64
678,546,20,139
679,4647,10,212
680,8084,7,298
681,3756,3,167
682,2199,11,192
683,8573,11,126
684,3929,8,213
685,2092,8,107
686,2328,8,85
687,8694,5,294
688,8996,3,288
689,6450,8,275
690,4834,20,74
691,2948,4,223
692,8575,1,139
693,6255,8,160
694,4410,12,210
695,9214,18,212
696,1907,16,159
697,8061,19,162
698,9298,12,111
699,7717,9,276
700,6731,11,157
701,7464,3,236
702,7707,20,92
703,7993,2,132
704,6468,16,267
705,6509,3,183
706,7554,1,105
707,4398,2,285
708,6046,19,247
709,7496,5,116
710,9689,2,246
711,9868,15,76
712,7644,9,96
713,8994,8,153
714,7952,15,183
715,2189,4,178
716,4840,9,78
717,7676,5,107
718,8031,3,159
719,722,4,140
720,5335,1,79
721,1217,14,76
722,3399,17,56
723,3547,1,216
724,9941,16,191
725,6580,12,133
726,1181,1,276
727,9611,13,67
728,4696,3,237
729,9218,16,252
730,2674,11,212
731,3154,9,165
732,8709,10,209
733,4350,5,129
734,1252,1,231
735,45,9,194
736,724,3,207
737,525,12,137
738,3674,13,206
739,9193,3,219
740,2773,13,132
741,1102,2,97
742,2337,4,228
743,4153,1,205
744,535,4,266
745,2502,13,258
746,8805,13,245
747,5925,11,117
748,7898,13,151
749,9649,20,178
750,9373,14,159
751,1373,15,118
752,3668,10,204
753,9194,15,136
754,1547,11,108
755,8343,17,92
756,8532,7,60
757,6958,15,170
758,8622,14,267
759,8158,5,102
760,6204,11,57
761,6547,1,276
762,6010,18,247
763,5974,12,219
764,8137,7,109
765,2455,12,296
766,3015,11,53
767,9686,3,285
768,9109,2,209
769,4745,9,285
770,2499,12,265
771,6479,15,145
772,3065,15,189
773,4756,8,113
774,8312,18,173
775,977,13,295
776,2994,10,229
777,9998,2,161
778,1014,17,300
779,2901,9,234
780,1770,5,65
781,3150,10,195
782,7217,2,219
783,3154,7,88
784,1395,4,77
785,3092,2,159
786,5326,15,88
787,907,20,150
788,6998,6,87
789,7801,7,93
790,8431,2,143
791,8801,19,95
792,3157,8,254
793,5978,20,68
794,2102,5,143
795,8212,6,103
796,7196,3,96
797,4412,3,97
798,3718,13,146
799,4991,2,229
800,6096,18,106
801,7877,15,133
802,3567,11,212
803,1940,20,213
804,5570,3,283
805,2953,17,223
806,4535,14,75
807,695,8,97
808,7389,9,273
809,6781,20,198
810,9583,11,232
811,6969,6,134
812,7517,18,91
813,2409,14,191
814,3421,15,93
815,6633,8,281
816,1754,15,162
817,100,2,153
818,3476,8,272
819,1868,15,188
820,389,5,162
821,2904,1,115
822,7495,15,286
823,5571,1,294
824,9107,8,204
825,49,20,289
826,3337,5,120
827,4862,16,276
828,2000,14,76
829,2968,19,134
830,3632,20,132
831,5995,4,271
832,2802,19,276
833,771,5,175
834,3420,20,245
835,8323,7,67
836,8919,14,244
837,4539,5,157
838,6337,15,214
839,5897,8,217
840,7530,3,89
841,9441,10,193
842,7739,14,60
843,8102,20,243
844,6627,18,183
845,81,9,261
846,6824,9,263
847,9067,18,233
848,1330,14,76
849,1212,9,260
850,320,20,243
851,7686,8,65
852,7065,15,90
853,3993,20,298
854,9681,14,261
855,7917,17,276
856,101,15,256
857,1560,11,74
858,8235,10,204
859,1048,11,284
860,5925,10,222
861,9014,19,288
862,8122,10,109
863,3291,5,222
864,2637,5,121
865,6762,17,270
866,6579,14,109
867,3812,7,88
868,2,20,75
869,3297,4,187
870,6397,16,211
871,5298,13,166
872,6912,17,274
873,7143,6,92
874,2073,5,199
875,4020,5,300
876,2979,18,50
877,679,15,282
878,3126,1,252
879,7296,10,282
880,5306,11,271
881,5613,9,126
882,3808,5,102
883,6070,17,109
884,1582,6,119
885,2847,17,167
886,963,11,186
887,5970,12,259
888,2320,17,157
889,3737,3,291
890,1414,19,161
891,5969,14,88
892,7115,18,91
893,7496,9,210
894,4402,9,97
895,1624,14,252
896,3349,14,63
897,6629,17,116
898,7348,3,212
899,3037,2,71
900,7398,8,159
901,7470,11,244
902,3764,8,55
903,5485,2,226
904,2376,8,115
905,2990,16,273
906,5883,14,174
907,1021,15,255
908,9165,8,96
909,7830,18,202
910,753,17,96
911,4676,16,66
912,3138,20,297
913,803,2,295
914,136,13,281
915,7732,8,219
916,520,9,73
917,8384,12,216
918,9521,9,274
919,603,19,173
920,3617,11,280
921,9792,8,229
922,9139,8,73
923,2151,8,118
924,6646,16,227
925,8440,9,78
926,5866,6,239
927,2733,10,108
928,3174,17,91
929,837,9,239
930,6817,16,283
931,4469,3,183
932,8191,20,274
933,3145,19,156
934,9216,11,57
935,7517,15,190
936,2495,6,71
937,6833,10,227
938,5644,4,179
939,4193,2,86
940,7684,13,265
941,4826,11,60
942,966,11,74
943,6782,12,66
944,9318,13,181
945,9221,17,174
946,4046,7,71
947,6640,10,284
948,7754,9,88
949,9110,13,226
950,5869,12,174
951,542,14,168
952,6939,11,140
953,2339,11,169
954,1140,2,204
955,4611,19,69
956,4883,15,122
957,8273,12,239
958,5548,3,207
959,4886,15,119
960,3079,8,88
961,688,2,187
962,986,10,83
963,6473,16,134
964,5385,8,56
965,1769,5,162
966,9978,17,267
967,1894,9,121
968,9917,12,267
969,7951,9,75
970,4734,10,99
971,5773,9,272
972,6659,5,110
973,226,11,249
974,5384,4,257
975,8284,6,119
976,4118,2,273
977,6541,1,243
978,5581,16,280
979,9751,16,241
980,3956,12,72
981,1489,18,276
982,3710,17,174
983,7328,10,109
984,9924,18,217
985,796,20,63
986,3392,11,115
987,4540,16,273
988,2765,12,78
989,5322,20,165
990,8733,5,167
991,3268,14,95
992,9586,20,72
993,8602,14,287
994,8791,1,267
995,2914,8,139
996,673,13,73
997,1645,13,221
998,78,10,137
999,846,3,98
1000,7077,13,231
1001,607,15,263
1002,1982,3,290
1003,5830,1,167
1004,3936,19,241
1005,7520,2,289
1006,9136,6,67
1007,6303,13,292
1008,1704,9,121
1009,5309,16,97
1010,5186,14,165
1011,5488,3,93
1012,270,12,251
1013,5596,13,62
1014,3570,14,52
1015,7902,4,113
1016,3929,5,210
1017,117,15,70
1018,4137,12,185
1019,1909,13,144
1020,3716,6,251
1021,7847,3,300
1022,4565,6,72
1023,6760,2,133
1024,5185,15,55
1025,4178,4,164
1026,8038,4,155
1027,7359,15,243
1028,7233,5,247
1029,7818,6,104
1030,6745,18,125
1031,9909,12,218
1032,4519,16,143
1033,5919,19,263
1034,7038,18,56
1035,4207,14,96
1036,587,16,256
1037,3700,10,198
1038,3086,7,156
1039,4254,19,204
1040,6809,19,121
1041,8776,3,150
1042,2104,5,82
1043,904,2,55
1044,8109,9,67
1045,7755,14,103
1046,2714,18,133
1047,4003,19,192
1048,3653,18,69
1049,4066,11,89
1050,8621,17,194
1051,3230,12,141
1052,2755,15,285
1053,2660,2,171
1054,8641,11,178
1055,3826,1,210
1056,5439,12,69
1057,183,18,187
1058,5438,12,63
1059,4077,13,239
1060,7951,5,51
1061,9396,19,85
1062,8946,6,256
1063,6461,2,281
1064,5610,20,51
1065,8544,2,179
1066,1536,10,267
1067,1735,12,216
1068,653,20,89
1069,1252,9,220
1070,3122,10,214
1071,8295,13,216
1072,5572,20,176
1073,5455,8,146
1074,1075,4,291
1075,4534,18,118
1076,8946,4,72
1077,8544,7,291
1078,7018,3,60
1079,6835,17,134
1080,7613,9,172
1081,946,3,268
1082,412,19,59
1083,9256,3,171
1084,1941,16,191
1085,8533,10,236
1086,3162,2,236
1087,7056,7,235
1088,5869,14,212
1089,2006,5,68
1090,1819,18,55
1091,220,19,113
1092,6424,13,247
1093,9642,5,54
1094,2764,18,182
1095,532,15,288
1096,1920,2,200
1097,2753,3,266
1098,98,5,131
1099,8616,9,125
1100,5645,11,89
1101,2188,14,90
1102,2045,18,272
1103,6047,3,151
1104,3788,18,152
1105,4384,19,198
1106,4320,6,219
1107,5360,13,147
1108,4884,17,237
1109,3431,3,194
1110,989,10,240
1111,887,4,60
1112,5730,10,70
1113,7781,1,193
1114,1025,17,276
1115,6797,9,62
1116,6847,9,123
1117,3150,3,266
1118,8150,12,236
1119,6943,6,100
1120,2858,7,248
1121,6223,8,281
1122,278,13,226
1123,6138,7,239
1124,807,1,233
1125,7622,4,218
1126,625,17,141
1127,2229,6,203
1128,6241,10,74
1129,5235,18,275
1130,1349,18,64
1131,9818,11,70
1132,6198,19,165
1133,2907,10,222
1134,3132,13,168
1135,8339,4,146
1136,9142,7,204
1137,1189,3,138
1138,9743,19,112
1139,2987,1,215
1140,4711,5,116
1141,7896,15,300
1142,5202,10,126
1143,6143,8,168
1144,7653,1,245
1145,9324,3,114
1146,5803,8,80
1147,9485,19,53
1148,9194,17,241
1149,6901,9,254
1150,8452,15,180
1151,6636,7,254
1152,5115,14,147
1153,7824,11,66
1154,9927,13,78
1155,5721,12,286
1156,7379,3,109
1157,8451,2,126
1158,3453,13,207
1159,1959,12,75
1160,5358,14,107
1161,270,10,157
1162,7078,3,191
1163,3210,9,289
1164,7330,11,55
1165,4097,12,100
1166,231,6,74
1167,8204,15,283
1168,7038,8,288
1169,3171,14,216
1170,992,10,53
1171,9770,6,244
1172,6447,2,147
1173,4004,5,155
1174,7908,10,56
1175,8349,20,211
1176,4658,8,150
1177,2806,19,179
1178,60,8,208
1179,8562,10,250
1180,4192,16,144
1181,5467,5,169
1182,3399,20,226
1183,3184,4,77
1184,5978,10,174
1185,156,6,177
1186,5312,6,227
1187,7253,5,84
1188,516,7,280
1189,5545,18,170
1190,6988,17,276
1191,1139,15,298
1192,5128,3,261
1193,6788,6,126
1194,1511,5,112
1195,2845,17,149
1196,1437,4,244
1197,4392,13,206
1198,2695,16,54
1199,8215,15,174
1200,8571,3,144
1201,5573,17,298
1202,924,11,278
1203,9899,4,98
1204,2925,3,125
1205,4105,11,295
1206,7080,19,95
1207,6401,14,299
1208,906,18,206
1209,5262,16,219
1210,1224,1,217
1211,7897,20,217
1212,4063,4,91
1213,7308,12,267
1214,5059,12,116
1215,5154,19,213
1216,5107,10,119
1217,7777,7,193
1218,5383,8,273
1219,9308,18,288
1220,2527,3,172
1221,6185,6,288
1222,8245,12,153
1223,5033,5,287
1224,5673,1,252
1225,3932,18,257
1226,8906,2,230
1227,7914,7,270
1228,7229,12,91
1229,7002,4,57
1230,2379,18,178
1231,7845,1,270
1232,8214,6,208
1233,3501,14,178
1234,5382,16,83
1235,6331,16,165
1236,375,3,254
1237,2810,20,165
1238,8266,4,294
1239,6457,12,177
1240,3206,17,191
1241,2564,1,126
1242,5472,13,242
1243,422,14,198
1244,6401,11,137
1245,9329,6,219
1246,3077,8,73
1247,7419,15,139
1248,3857,6,181
1249,9531,8,210
1250,6194,9,141
1251,1404,4,228
1252,1822,11,296
1253,8617,16,149
1254,3014,16,58
1255,1175,13,268
1256,4656,8,211
1257,7147,3,283
1258,6251,17,110
1259,388,14,278
1260,5798,1,118
1261,3889,12,130
1262,4896,13,155
1263,5191,19,133
1264,4977,6,284
1265,8095,17,139
1266,9379,17,73
1267,6748,4,226
1268,5002,18,292
1269,3227,12,236
1270,7187,20,178
1271,9843,20,281
1272,2977,18,190
1273,1196,7,233
1274,6513,9,300
1275,7278,6,64
1276,5177,18,201
1277,7574,15,171
1278,1050,7,159
1279,6735,11,270
1280,3482,10,188
1281,7305,4,167
1282,7510,14,290
1283,3503,10,154
1284,5936,5,195
1285,131,1,114
1286,2696,17,116
1287,5998,8,180
1288,5352,2,151
1289,1764,13,201
1290,9557,12,125
1291,7880,16,300
1292,474,6,294
1293,2758,17,207
1294,7611,9,275
1295,8552,4,98
1296,1634,12,283
1297,2184,11,279
1298,27,10,124
1299,5846,10,132
1300,3838,9,202
1301,4724,16,206
1302,6453,8,260
1303,1798,4,176
1304,8394,13,240
1305,3319,13,141
1306,3407,10,173
1307,2121,4,110
1308,7894,1,175
1309,6444,8,204
1310,3335,8,207
1311,6806,8,163
1312,7844,1,196
1313,6499,17,244
1314,9228,18,88
1315,8791,20,129
1316,4785,20,201
1317,9371,5,129
1318,7984,12,161
1319,5608,18,216
1320,2347,2,54
1321,3887,1,183
1322,6465,14,224
1323,2466,18,86
1324,617,13,178
1325,7800,2,200
1326,9793,16,133
1327,187,15,186
1328,425,16,248
1329,1872,19,287
1330,4843,7,144
1331,3803,20,85
1332,987,17,76
1333,5869,2,205
1334,194,10,290
1335,7649,6,236
1336,3794,11,96
1337,5876,5,170
1338,4613,13,219
1339,8723,4,90
1340,2372,17,51
1341,6316,4,165
1342,6960,15,244
1343,1828,2,258
1344,1688,7,148
1345,6975,11,81
1346,5245,4,240
1347,8783,2,232
1348,2441,18,217
1349,726,19,61
1350,544,13,233
1351,8690,15,136
1352,8115,19,134
1353,1347,5,210
1354,5131,8,198
1355,5710,3,260
1356,8301,19,83
1357,9261,10,58
1358,5682,19,174
1359,2884,11,251
1360,2881,10,278
1361,4340,19,220
1362,7187,6,68
1363,4892,12,286
1364,9376,1,189
1365,3666,2,54
1366,9577,1,251
1367,6228,10,114
1368,6363,2,261
1369,3148,1,137
1370,1032,6,133
1371,4746,11,252
1372,4198,16,176
1373,8460,5,262
1374,9890,6,232
1375,9361,10,98
1376,652,16,101
1377,3966,17,299
1378,749,11,296
1379,3937,14,146
1380,3014,3,265
1381,7606,3,298
1382,3963,5,271
1383,1475,13,231
1384,7117,12,112
1385,9990,6,257
1386,2081,18,157
1387,5575,17,267
1388,8605,18,296
1389,8031,9,87
1390,9587,7,88
1391,7662,10,100
1392,9906,4,235
1393,4807,9,248
1394,3627,20,160
1395,1481,7,74
1396,5014,1,56
1397,3264,5,288
1398,8808,13,153
1399,534,13,300
1400,7149,8,293
1401,9707,5,174
1402,287,6,162
1403,7708,6,226
1404,6021,16,280
1405,1378,13,106
1406,6053,4,65
1407,805,3,163
1408,978,20,120
1409,7940,7,165
1410,9026,5,77
1411,9609,8,285
1412,7080,1,87
1413,6556,13,163
1414,9186,6,153
1415,5351,11,147
1416,407,19,118
1417,2639,18,285
1418,1518,1,80
1419,6612,10,136
1420,8162,10,125
1421,3534,7,160
1422,8542,1,100
1423,3680,4,129
1424,8368,5,195
1425,2324,13,166
1426,5230,3,238
1427,9830,4,113
1428,6862,11,102
1429,8576,13,183
1430,7116,2,274
1431,3182,3,116
1432,3716,14,80
1433,3227,17,170
1434,6526,15,258
1435,7533,16,55
1436,1510,20,73
1437,686,11,237
1438,9506,5,287
1439,7480,15,158
1440,4714,15,192
1441,9958,13,92
1442,2333,9,252
1443,9081,3,129
1444,6553,5,147
1445,9771,7,103
1446,6080,18,92
1447,1288,17,182
1448,7203,11,226
1449,9180,16,182
1450,9993,4,54
1451,6793,18,181
1452,8555,4,294
1453,1265,7,71
1454,4073,2,136
1455,3981,19,111
1456,5732,16,242
1457,1337,5,111
1458,9723,7,125
1459,9424,9,70
1460,4616,20,209
1461,50,5,263
1462,1301,6,255
1463,6324,17,134
1464,3111,11,96
1465,9482,2,264
1466,3569,15,54
1467,2697,1,171
1468,4690,15,163
1469,4945,5,91
1470,7475,18,61
1471,7939,9,203
1472,9088,2,232
1473,7146,1,71
1474,2970,16,242
1475,1476,11,216
1476,6634,11,152
1477,3333,5,92
1478,1746,6,55
1479,2362,6,164
1480,985,19,236
1481,5360,1,263
1482,2078,10,131
1483,8134,5,265
1484,1299,8,216
1485,1,5,270
1486,4201,16,265
1487,6882,6,62
1488,6057,17,56
1489,3716,15,144
1490,4851,19,95
1491,6623,7,178
1492,4179,16,166
1493,2413,14,68
1494,1284,14,190
1495,549,12,81
1496,111,12,148
1497,5564,6,189
1498,8113,13,167
1499,1442,7,148
1500,5789,11,149
1501,6037,3,95
1502,3816,14,138
1503,3369,3,191
1504,5860,16,234
1505,2404,1,161
1506,8999,16,217
1507,9515,8,172
1508,6564,17,117
1509,4079,16,87
