Train_No,Route_ID,Departure_Date,Arrival_Date,Departure_Time,Arrival_Time
8,376,2023-01-06,2023-01-16,08:27:03,06:55:32
1,479,2023-01-02,2023-02-14,07:15:03,12:07:14
12,41,2023-06-21,2023-07-11,17:01:48,04:43:48
4,257,2023-11-21,2023-03-23,23:56:00,05:02:58
11,96,2023-04-14,2023-06-13,22:46:48,14:42:37
5,796,2023-06-29,2023-06-18,15:30:16,23:38:31
6,481,2023-09-24,2023-07-05,17:21:04,14:35:52
2,312,2023-04-12,2023-08-25,00:04:17,00:13:25
7,831,2023-12-26,2023-05-30,21:49:46,09:24:45
15,562,2023-05-14,2023-03-14,20:49:43,10:40:52
19,495,2023-04-14,2023-01-20,23:33:10,17:50:47
20,523,2023-10-03,2023-01-15,11:33:08,16:26:13
18,948,2023-03-17,2023-11-29,13:58:40,20:26:50
5,235,2023-08-12,2023-05-21,21:16:03,14:22:00
8,674,2023-11-29,2023-05-22,02:14:18,03:10:23
6,137,2023-03-27,2023-12-04,19:46:25,16:52:26
14,516,2023-10-19,2023-01-09,18:30:05,10:19:52
3,342,2023-08-19,2023-07-02,00:16:04,15:51:19
6,928,2023-10-02,2023-02-27,11:51:41,22:56:54
17,459,2023-04-11,2023-09-26,11:14:34,06:09:10
9,398,2023-09-27,2023-05-02,07:35:49,10:27:16
7,153,2023-09-13,2023-12-24,14:53:41,12:40:40
2,865,2023-03-08,2023-02-28,01:02:28,21:41:45
6,907,2023-08-29,2023-09-28,01:38:02,17:35:45
3,826,2022-12-30,2023-08-10,04:24:21,14:36:55
2,681,2023-04-11,2023-12-10,18:47:26,16:26:32
11,146,2023-09-04,2023-04-19,14:28:55,20:16:44
20,524,2023-08-16,2023-09-03,16:23:17,14:49:54
5,733,2023-01-06,2023-07-28,15:14:33,07:38:54
7,544,2023-09-24,2023-08-11,07:27:18,16:17:13
14,814,2023-04-27,2023-10-09,15:23:20,18:37:24
18,97,2023-02-16,2023-02-28,11:39:15,16:58:33
7,193,2023-04-08,2023-01-31,07:49:26,21:06:23
18,743,2023-01-28,2023-11-10,13:26:26,10:25:33
15,259,2023-06-14,2023-07-11,09:57:44,05:21:00
20,720,2023-08-05,2023-04-29,21:27:25,11:52:23
14,482,2023-03-09,2023-04-26,03:08:31,04:20:36
2,428,2023-12-18,2023-08-11,14:53:40,05:46:50
19,822,2023-12-27,2023-11-07,07:58:34,16:19:19
13,614,2023-04-21,2023-01-26,06:24:56,00:43:16
6,372,2023-07-05,2023-11-21,20:43:42,06:33:16
8,552,2023-05-29,2023-06-01,05:10:41,18:10:17
15,700,2023-06-22,2023-10-23,04:26:03,06:37:03
5,222,2023-10-03,2023-08-08,21:23:16,06:42:22
19,419,2023-08-18,2023-08-19,17:34:45,09:55:27
15,948,2023-01-23,2023-09-03,09:44:16,18:10:27
4,318,2023-04-06,2023-09-16,07:59:03,20:04:23
1,115,2023-08-17,2023-07-10,10:51:08,16:42:18
4,877,2023-08-12,2023-02-02,16:27:06,01:31:15
7,51,2023-05-27,2023-01-06,22:09:53,20:08:09
12,325,2023-09-20,2023-07-04,00:24:48,21:12:33
10,986,2023-11-11,2023-08-29,05:24:19,10:49:21
7,755,2023-09-07,2023-08-06,00:31:30,10:31:49
11,187,2023-04-23,2023-03-22,21:41:47,18:25:00
5,913,2023-03-10,2023-07-02,18:13:22,00:49:22
18,998,2023-07-20,2023-03-01,09:27:28,06:58:18
5,81,2023-07-18,2023-04-20,22:17:04,20:12:22
3,628,2023-01-20,2023-10-22,00:42:36,18:39:29
3,12,2023-11-27,2023-08-13,03:50:31,12:04:41
20,31,2023-12-20,2023-03-16,14:39:09,03:28:43
2,525,2023-10-05,2023-06-05,04:36:05,12:47:22
18,438,2023-06-18,2022-12-28,08:51:18,12:45:06
1,650,2023-01-21,2023-07-13,23:05:42,02:27:28
5,572,2023-03-05,2023-07-11,10:13:52,01:47:46
12,398,2023-05-05,2023-05-05,09:50:27,01:27:42
11,881,2023-11-27,2023-04-17,13:01:16,00:39:54
17,368,2023-09-03,2023-11-03,23:23:50,16:58:27
8,532,2023-02-26,2023-07-24,16:05:56,01:58:43
3,164,2023-09-21,2023-05-22,23:46:59,04:34:12
19,278,2023-09-27,2023-02-27,10:33:27,07:32:01
12,309,2023-06-20,2023-02-28,14:32:38,14:16:21
8,862,2023-07-29,2023-06-19,22:34:12,19:08:42
1,197,2023-11-21,2023-03-30,22:53:37,02:29:26
8,680,2023-01-06,2023-05-23,12:42:22,15:57:39
17,725,2023-07-31,2023-05-14,22:49:53,16:25:41
7,874,2023-07-31,2023-11-26,14:53:20,03:29:16
8,351,2023-03-22,2023-07-21,14:25:12,23:49:14
18,574,2023-06-02,2023-02-02,13:46:08,19:52:52
12,890,2023-03-19,2023-07-20,17:32:59,09:47:00
11,220,2023-05-01,2023-02-16,07:22:40,16:31:33
17,268,2023-01-07,2023-06-28,00:09:31,14:38:49
14,813,2023-02-15,2023-11-22,07:08:37,07:47:35
19,474,2023-12-01,2023-12-13,15:17:47,10:52:30
20,462,2023-10-24,2023-02-10,09:22:17,13:34:27
8,143,2023-10-14,2023-04-26,15:33:14,19:36:06
8,636,2023-10-06,2023-10-17,01:17:47,02:41:03
2,466,2023-06-01,2023-08-07,07:12:43,23:04:36
2,159,2023-06-25,2023-09-17,06:57:20,12:04:50
14,629,2023-06-16,2023-04-29,12:21:04,06:36:13
12,798,2023-10-24,2023-12-10,05:59:14,05:04:33
16,863,2023-06-14,2023-04-09,05:33:41,06:11:31
4,190,2023-05-29,2023-03-22,11:55:46,09:00:50
17,512,2023-01-14,2023-06-24,08:14:18,21:07:21
19,864,2023-01-15,2023-10-08,02:23:44,15:24:25
12,553,2023-05-14,2023-02-07,02:09:50,05:23:31
14,285,2023-02-11,2023-03-15,02:45:50,02:43:07
20,201,2023-01-11,2023-02-16,21:34:28,22:52:26
8,133,2023-06-28,2023-07-19,09:19:01,09:12:08
6,967,2023-02-03,2023-02-19,07:33:21,03:27:05
13,953,2023-02-04,2023-02-14,01:43:08,18:31:44
12,192,2023-01-17,2023-09-27,12:45:21,07:15:29
16,817,2023-09-29,2023-05-12,15:21:13,16:47:02
1,47,2023-05-03,2023-10-25,03:03:22,20:08:59
3,431,2023-07-29,2023-01-16,14:13:19,21:50:50
3,647,2023-09-12,2023-09-02,12:09:38,19:01:17
12,884,2023-12-04,2023-06-13,17:27:19,17:50:47
11,706,2023-01-22,2023-11-09,13:23:29,23:19:49
17,904,2023-07-25,2023-01-29,07:22:03,13:00:03
20,734,2023-04-15,2023-05-16,03:55:12,23:40:10
9,211,2023-07-18,2023-08-25,12:42:56,11:15:07
1,357,2023-12-10,2023-12-28,00:37:58,14:33:55
18,633,2023-04-17,2023-07-01,11:45:30,15:47:54
20,808,2023-10-30,2023-05-25,22:58:03,02:48:15
6,83,2023-03-26,2023-10-05,16:00:58,10:48:28
2,101,2023-07-01,2023-10-28,10:38:29,04:24:47
19,936,2023-03-19,2023-12-07,13:41:02,22:30:47
14,720,2023-01-11,2023-02-08,17:09:12,03:22:59
7,782,2023-07-13,2023-11-19,22:11:23,06:51:20
1,116,2023-10-24,2023-04-06,11:08:26,04:07:16
2,409,2023-05-07,2023-09-25,06:41:23,14:39:39
15,524,2023-09-03,2023-09-21,04:01:37,18:44:51
18,799,2023-10-02,2023-03-01,22:03:02,13:09:56
6,202,2023-08-07,2023-03-07,13:32:26,01:32:05
18,542,2023-02-16,2023-03-31,17:15:01,11:27:43
6,709,2023-02-24,2023-09-20,22:09:25,07:39:37
16,42,2023-03-31,2023-08-31,16:44:53,07:21:18
7,928,2023-11-04,2023-06-09,00:29:06,14:07:49
15,340,2023-04-22,2023-06-03,00:59:03,20:47:57
12,328,2023-01-21,2023-05-21,21:00:52,08:08:51
9,730,2023-02-16,2023-08-17,05:28:39,10:17:03
14,425,2023-04-29,2023-07-09,06:54:14,21:48:11
8,370,2023-05-09,2023-10-19,11:04:59,20:34:19
2,217,2023-02-15,2023-04-08,12:36:12,03:52:51
19,104,2023-05-16,2023-10-20,07:53:20,11:58:03
3,235,2023-01-14,2023-02-08,19:31:22,01:07:47
16,4,2023-06-24,2023-07-26,18:46:56,09:26:06
16,463,2023-06-09,2023-11-13,20:04:20,19:57:04
17,417,2023-10-31,2023-11-12,13:22:30,19:23:00
12,784,2023-10-11,2023-06-24,17:27:45,22:44:20
2,65,2023-12-12,2023-04-11,20:16:35,21:23:45
10,263,2023-07-14,2023-03-13,19:38:47,20:13:48
18,948,2023-02-25,2023-11-11,20:46:47,18:29:46
9,643,2023-02-15,2023-01-24,01:54:29,15:41:16
19,318,2023-09-04,2023-08-02,07:41:57,13:04:53
15,70,2023-02-21,2023-03-11,21:07:39,15:51:47
19,2,2023-12-26,2023-03-26,01:48:44,20:05:58
9,682,2023-01-17,2023-06-01,03:38:29,23:30:56
3,510,2023-09-30,2023-12-28,22:46:40,03:21:05
19,199,2023-10-16,2023-07-11,11:24:02,12:54:23
1,417,2023-04-12,2023-08-21,19:14:26,16:17:48
8,271,2023-03-07,2022-12-31,17:51:10,13:55:09
4,892,2023-01-04,2023-05-19,12:38:24,11:01:18
2,955,2023-11-20,2023-03-19,21:44:53,00:01:13
5,466,2023-07-23,2023-05-22,18:01:05,06:12:59
19,693,2023-05-06,2023-10-22,21:11:01,01:28:27
17,253,2023-12-10,2023-03-23,13:50:25,04:02:53
2,737,2023-01-03,2023-10-19,06:15:35,05:37:30
20,845,2023-04-28,2023-10-03,00:32:04,08:35:00
16,496,2023-07-07,2023-01-26,05:09:59,12:18:51
4,242,2023-01-05,2023-02-17,16:45:48,09:11:27
3,564,2023-04-09,2023-03-05,11:51:34,15:31:07
19,485,2023-12-24,2023-06-05,16:20:07,05:34:19
2,77,2023-10-26,2023-12-26,00:06:02,10:24:38
17,447,2023-05-24,2023-01-12,07:46:08,09:13:48
4,994,2023-02-07,2023-10-05,22:36:38,10:48:35
16,977,2023-08-03,2023-04-08,05:19:31,17:38:27
17,132,2023-05-21,2023-04-13,04:34:51,04:29:09
4,337,2023-04-02,2023-06-24,18:08:18,18:05:26
8,321,2023-09-25,2023-05-14,14:29:15,05:18:21
18,572,2023-04-15,2023-11-10,06:23:13,04:16:41
6,127,2023-04-22,2023-03-08,09:10:13,19:11:40
3,542,2023-04-16,2023-05-03,02:07:21,16:45:53
15,427,2023-12-14,2023-11-02,04:20:51,12:11:58
19,826,2023-04-13,2023-01-27,20:06:22,03:16:40
10,878,2023-08-19,2022-12-28,20:20:26,15:04:06
2,288,2023-06-20,2023-10-19,11:42:03,09:16:01
11,106,2023-06-24,2023-03-28,10:26:00,15:09:39
16,405,2023-04-19,2023-09-10,16:20:45,23:06:34
18,382,2023-11-03,2023-12-11,09:39:52,03:57:02
3,192,2023-08-01,2023-08-02,00:47:46,19:35:09
8,310,2023-08-03,2023-10-19,18:59:03,23:38:51
17,939,2023-08-29,2023-06-12,13:25:28,03:12:57
19,862,2023-09-12,2023-03-20,06:19:51,08:33:51
8,306,2023-07-04,2023-04-19,14:43:02,02:24:19
2,611,2023-08-01,2023-04-16,12:11:08,19:09:24
9,239,2023-07-17,2023-10-03,17:58:59,03:56:40
18,723,2023-08-19,2023-09-15,10:18:39,03:09:56
17,825,2023-05-18,2023-09-15,03:11:10,10:06:33
16,557,2023-08-11,2023-02-23,17:25:18,19:08:43
18,511,2023-01-28,2023-06-30,02:08:09,05:55:53
10,776,2023-02-11,2023-07-08,13:58:53,05:08:20
13,666,2023-08-07,2023-04-01,06:37:57,16:53:11
20,534,2023-12-06,2023-04-25,01:58:31,20:00:00
16,275,2023-09-23,2023-11-27,13:34:17,16:26:12
20,141,2023-08-01,2023-05-29,00:00:13,20:02:32
18,107,2023-12-26,2023-12-25,08:44:11,00:08:34
18,512,2023-11-21,2023-06-07,19:21:18,02:55:57
4,599,2023-01-09,2023-11-01,00:36:13,09:34:22
4,690,2023-08-30,2023-09-23,03:07:57,14:07:58
5,962,2023-03-16,2023-11-10,07:40:14,23:18:19
3,981,2023-06-14,2023-07-16,17:58:53,05:33:34
3,625,2023-06-10,2023-03-15,06:51:03,22:14:23
17,553,2023-01-05,2023-02-27,19:11:26,10:01:56
14,400,2023-02-10,2023-02-18,22:30:38,10:33:00
7,387,2023-08-18,2023-07-16,02:19:51,08:25:03
12,543,2023-12-07,2023-08-18,22:05:46,22:40:33
17,914,2023-09-21,2023-12-08,12:01:35,13:20:32
13,500,2023-06-03,2023-02-09,04:01:54,17:08:05
3,533,2023-04-23,2023-03-25,17:46:10,21:58:08
18,744,2023-10-08,2023-09-23,06:09:04,22:34:13
19,335,2023-11-26,2023-07-28,05:04:08,11:24:33
8,244,2023-01-23,2023-10-23,07:06:38,13:19:01
14,602,2023-01-19,2023-01-24,05:57:55,03:47:25
20,626,2023-08-29,2023-06-13,05:26:09,07:39:36
16,218,2023-12-17,2023-09-11,10:45:59,22:44:29
16,811,2023-01-10,2023-07-24,23:54:05,19:01:42
9,642,2022-12-28,2023-01-21,03:12:29,01:42:08
4,791,2023-03-29,2023-04-15,20:14:16,13:19:08
12,874,2023-05-25,2023-09-14,04:36:07,15:27:42
8,629,2023-07-23,2023-05-27,04:59:24,00:04:34
4,229,2023-01-06,2023-01-21,22:05:02,19:59:18
12,511,2023-12-21,2023-07-02,06:51:47,12:25:42
20,714,2023-12-14,2023-09-03,07:29:04,17:28:33
9,412,2023-12-26,2023-06-29,03:45:16,07:55:56
17,1000,2023-10-17,2023-08-11,08:30:19,15:09:50
6,70,2023-05-20,2023-02-04,13:39:57,12:53:34
11,882,2023-02-22,2023-09-09,16:20:13,14:06:50
9,968,2023-06-16,2023-07-03,18:22:24,04:58:00
11,621,2023-10-01,2023-04-09,17:14:11,12:01:45
20,935,2023-01-04,2023-07-12,17:01:28,02:59:08
17,412,2023-12-20,2023-10-14,01:23:19,11:24:20
15,773,2023-04-13,2023-05-31,02:30:32,10:10:38
3,49,2023-12-03,2023-04-17,23:09:13,07:19:01
9,700,2023-06-30,2023-09-16,15:46:23,11:25:27
6,832,2023-02-03,2023-06-02,17:40:56,11:08:59
5,106,2023-04-20,2023-03-19,18:45:29,17:51:46
12,472,2023-08-10,2023-01-19,00:58:51,21:48:56
16,661,2023-02-06,2023-07-01,17:05:14,10:06:02
2,416,2023-10-16,2023-04-07,16:06:33,09:27:53
20,43,2023-11-20,2023-09-10,00:54:31,15:10:24
8,350,2023-12-10,2023-12-22,00:35:56,23:43:47
7,908,2023-08-27,2023-05-02,08:52:30,10:16:23
20,880,2023-12-04,2023-07-30,16:27:27,19:51:44
7,215,2023-09-23,2023-04-03,02:54:31,03:39:08
17,13,2023-07-27,2023-01-14,16:00:56,04:56:18
12,947,2023-10-06,2023-07-11,23:57:35,20:21:18
18,757,2023-07-07,2023-12-27,01:04:08,10:29:28
9,894,2023-02-05,2023-04-28,23:54:24,22:58:19
4,955,2023-02-25,2023-08-08,15:54:25,03:29:54
4,440,2023-10-11,2023-07-05,19:33:05,23:22:51
2,631,2023-01-10,2023-07-09,18:22:27,17:53:57
7,341,2023-04-15,2023-11-25,12:28:45,09:50:53
18,1,2023-03-05,2023-05-03,09:16:18,21:20:17
7,960,2023-11-06,2023-12-22,14:40:43,08:41:37
6,54,2023-07-18,2023-01-07,19:15:12,00:28:28
12,610,2023-02-28,2023-04-02,04:46:03,03:47:30
13,814,2023-01-05,2023-07-22,02:06:50,19:32:29
4,993,2023-10-11,2023-01-15,19:37:45,14:34:39
2,385,2023-07-20,2023-09-11,09:35:34,13:24:05
19,252,2023-02-27,2023-09-10,03:54:30,22:41:22
11,860,2023-11-01,2023-04-16,04:44:11,13:12:25
1,817,2023-06-21,2023-02-13,09:00:38,15:33:26
3,733,2023-12-04,2023-05-15,03:28:04,20:09:59
2,430,2023-04-30,2023-11-06,10:46:29,00:41:08
7,646,2023-05-14,2023-05-08,04:25:16,23:14:49
18,91,2023-03-31,2023-11-29,09:44:25,11:35:44
2,544,2023-05-19,2023-08-28,16:32:42,13:07:18
5,11,2023-05-11,2023-10-19,19:21:49,07:24:57
6,642,2023-03-23,2023-03-21,23:24:10,01:11:23
10,693,2023-08-19,2023-01-07,01:39:19,05:10:07
7,45,2023-10-31,2023-01-10,08:08:41,07:27:05
9,640,2023-03-14,2023-12-24,15:46:27,09:02:38
8,483,2023-06-05,2023-11-29,18:26:39,09:39:59
17,204,2023-07-15,2023-12-14,07:29:14,20:39:41
14,421,2023-01-12,2023-10-13,18:06:14,05:13:43
18,532,2023-06-24,2023-12-25,14:57:39,03:45:54
16,764,2023-02-24,2023-08-25,21:08:54,21:32:30
18,330,2023-02-07,2023-04-08,09:53:39,00:53:21
12,507,2023-12-06,2023-03-30,23:00:52,09:58:22
4,694,2023-11-09,2023-01-16,14:27:35,15:26:52
2,763,2023-06-28,2023-07-10,14:47:59,01:56:26
15,542,2023-05-27,2023-07-10,22:18:17,13:17:50
8,363,2023-10-14,2023-07-29,08:31:35,15:39:49
14,107,2023-12-15,2023-09-23,06:30:36,04:41:17
17,302,2023-08-27,2023-02-04,09:51:49,07:55:10
3,610,2023-05-21,2023-10-04,06:14:51,20:53:17
19,19,2023-02-13,2023-05-17,12:30:26,07:50:57
3,655,2023-11-07,2023-06-14,21:18:43,17:50:45
19,898,2023-11-20,2023-05-13,03:36:40,05:51:51
5,79,2023-04-22,2023-07-13,03:19:43,13:35:19
12,471,2023-01-26,2023-10-20,08:55:54,04:15:20
4,378,2023-04-19,2023-12-25,01:15:27,12:53:16
4,199,2023-04-01,2023-09-24,01:40:04,13:09:27
8,523,2023-07-06,2023-11-08,20:53:30,21:33:27
14,434,2023-06-19,2023-11-25,21:11:47,14:24:54
4,304,2023-05-17,2023-04-20,14:48:25,14:24:51
13,499,2023-08-30,2023-01-31,20:16:14,12:28:05
16,844,2023-07-03,2023-10-09,21:47:11,00:54:45
3,702,2023-08-01,2023-07-01,11:35:21,15:54:27
9,147,2023-12-23,2023-09-11,22:42:01,21:40:59
5,775,2023-04-16,2023-12-15,06:13:28,09:23:23
13,256,2023-09-16,2023-02-11,08:25:40,06:14:51
8,850,2023-10-15,2023-03-22,13:37:37,14:49:14
7,881,2023-12-23,2023-05-22,04:45:09,08:10:27
7,305,2023-04-06,2023-09-10,20:56:47,14:26:58
12,738,2023-01-19,2023-01-28,14:00:51,16:37:39
2,727,2023-03-25,2023-10-01,19:24:50,18:57:44
6,707,2023-10-29,2023-01-24,23:51:14,19:03:27
12,194,2023-11-04,2023-12-12,01:19:45,11:01:49
14,753,2023-10-21,2023-09-14,15:59:34,14:28:33
8,269,2023-05-10,2023-03-10,16:10:10,19:14:54
3,700,2023-02-27,2023-07-31,07:04:20,01:47:19
8,252,2023-10-06,2023-05-19,01:31:01,06:32:26
8,253,2023-12-12,2023-07-17,07:22:24,04:44:25
19,47,2023-08-27,2023-04-06,20:05:33,06:45:39
12,148,2023-08-08,2023-11-19,19:28:34,13:16:37
8,76,2023-09-15,2023-02-01,17:14:06,05:35:46
10,960,2023-03-19,2023-03-30,09:21:23,03:54:48
11,333,2023-07-02,2023-11-19,02:43:37,06:03:06
8,207,2023-01-05,2023-05-07,19:48:35,16:01:17
5,808,2023-05-02,2023-11-17,17:45:18,15:01:44
8,479,2023-06-29,2023-01-31,00:42:12,10:32:27
16,382,2023-08-13,2023-03-29,20:56:19,10:50:56
17,893,2023-10-31,2023-06-24,13:59:58,17:43:38
17,643,2023-09-06,2023-06-04,22:57:29,22:53:09
19,615,2023-03-10,2023-12-17,16:41:44,10:57:58
3,754,2023-06-27,2023-03-03,01:52:09,23:38:55
4,777,2023-05-01,2023-11-04,03:43:41,06:06:30
10,897,2023-03-17,2023-05-26,23:15:12,06:20:16
9,152,2023-03-10,2023-07-01,18:15:14,22:11:16
13,396,2023-07-03,2023-10-16,13:49:11,07:03:21
8,850,2023-05-06,2023-01-20,08:46:26,10:42:47
12,950,2023-06-08,2023-08-14,01:17:52,11:26:40
2,538,2023-03-05,2023-08-30,03:15:47,12:10:55
3,683,2023-01-27,2023-06-10,10:19:13,05:44:16
10,556,2023-01-25,2023-06-02,11:13:24,06:40:10
1,119,2023-01-14,2023-05-16,03:23:45,09:49:05
6,557,2023-05-07,2023-04-30,14:59:51,13:43:45
18,863,2023-05-31,2023-01-26,03:13:40,12:22:31
17,913,2023-09-22,2023-05-08,15:15:09,12:16:56
1,884,2023-04-14,2023-07-05,05:38:56,07:15:13
20,297,2023-04-20,2023-04-16,16:12:32,17:22:07
3,530,2023-02-12,2023-09-26,17:18:55,06:21:42
6,681,2023-07-19,2023-03-02,12:45:25,15:36:40
13,384,2023-06-12,2023-02-02,15:43:52,06:55:54
12,808,2023-06-19,2023-09-29,09:10:04,15:18:04
16,268,2023-08-16,2023-12-01,10:48:30,22:10:47
13,297,2023-01-11,2023-04-26,14:26:04,00:11:59
7,915,2023-05-12,2023-11-08,12:20:43,14:35:08
2,244,2023-12-04,2023-11-19,22:49:16,13:39:54
12,538,2023-01-04,2023-07-18,00:00:00,09:50:20
3,964,2023-08-17,2023-04-27,01:13:20,12:34:09
14,995,2023-03-27,2023-08-20,14:37:51,20:32:24
15,306,2023-09-13,2023-02-27,13:02:34,04:12:34
19,378,2023-10-09,2023-07-08,23:37:18,01:53:24
20,847,2023-08-18,2023-09-21,11:04:35,02:59:30
5,152,2023-09-20,2023-04-19,23:10:03,23:41:30
18,142,2023-05-25,2023-06-13,20:35:10,21:20:38
9,684,2023-12-11,2023-12-26,04:26:36,13:15:55
7,367,2023-11-23,2023-12-24,21:52:02,20:15:39
16,968,2023-04-11,2023-06-18,04:37:07,12:47:28
1,385,2023-08-11,2023-04-22,20:12:28,19:56:39
8,980,2023-09-28,2023-12-04,16:09:47,18:33:04
17,12,2023-04-17,2023-03-19,04:43:36,10:47:59
5,114,2023-05-03,2023-06-03,10:59:11,18:27:38
20,360,2023-07-08,2023-03-17,14:07:14,19:55:12
20,471,2023-07-19,2023-01-25,23:55:43,04:16:52
11,363,2023-07-23,2023-12-14,20:06:22,11:17:24
13,267,2023-03-25,2023-04-14,03:21:15,14:37:44
18,240,2023-03-01,2023-12-26,00:59:58,10:29:41
18,544,2023-03-20,2023-12-23,01:38:12,04:00:40
19,651,2023-01-24,2023-06-26,18:33:41,16:56:11
15,162,2023-08-06,2023-06-23,11:24:46,14:50:44
12,280,2023-01-11,2023-03-16,14:44:46,01:35:01
18,241,2023-08-17,2023-02-17,11:19:11,22:18:26
13,702,2023-03-20,2023-12-09,20:59:12,17:07:53
19,976,2023-01-22,2023-10-09,02:31:07,17:23:29
17,552,2023-04-07,2023-02-27,00:30:33,13:30:15
9,629,2023-11-10,2023-12-14,15:33:37,07:54:55
7,4,2023-02-20,2023-02-01,03:53:19,11:10:40
5,486,2023-02-04,2023-10-25,19:01:10,22:50:20
13,581,2023-03-11,2023-05-30,06:50:24,02:58:23
5,679,2023-09-07,2023-11-27,15:47:17,22:29:51
7,813,2023-11-24,2023-11-01,07:13:30,15:41:12
14,481,2023-04-15,2023-01-21,07:42:22,19:18:27
2,563,2023-02-17,2023-06-06,02:59:22,09:38:46
11,730,2023-12-23,2023-05-29,06:25:31,05:51:08
9,498,2023-09-03,2023-05-15,19:21:40,09:36:43
12,935,2023-08-21,2023-11-09,19:38:42,03:01:43
18,235,2023-09-02,2023-07-26,17:31:27,16:42:51
20,182,2023-02-22,2023-03-15,16:33:51,12:48:21
5,382,2023-01-03,2023-02-14,21:32:11,05:40:49
17,626,2023-07-11,2023-11-10,15:53:16,02:51:12
19,441,2023-10-28,2023-05-11,22:49:08,07:21:15
3,686,2023-10-23,2023-01-22,10:14:16,10:08:15
17,750,2023-05-13,2023-10-03,05:25:52,01:16:38
8,395,2023-12-20,2023-08-09,09:03:09,08:40:41
10,498,2023-09-13,2023-03-21,16:51:14,19:46:14
18,2,2023-03-25,2023-05-27,07:42:06,13:43:42
14,130,2023-11-06,2023-05-13,12:25:04,08:54:12
13,795,2023-01-29,2023-06-08,06:52:20,11:18:41
2,919,2023-12-16,2023-06-15,15:48:19,05:46:06
19,94,2023-11-07,2023-12-23,13:12:07,02:33:13
2,996,2023-01-31,2023-05-24,22:43:10,10:16:31
2,710,2023-04-04,2023-05-02,22:38:37,03:51:16
11,393,2023-06-28,2023-10-19,09:57:21,01:31:39
1,517,2023-07-02,2023-08-27,03:23:01,04:23:51
13,176,2023-02-19,2023-02-13,03:48:02,13:48:55
8,821,2023-04-08,2023-04-23,23:57:06,09:43:16
5,468,2023-08-19,2023-11-15,23:43:22,06:01:28
8,720,2023-02-27,2023-08-24,14:30:02,11:49:02
